DateFull,Year,Month,Day,Artist,Mix,Path,Format
2020-12-19,2020,12,19,Franky Wah,Franky Wah,2020/2020-12-19 - Essential Mix - Franky Wah/2020-12-19 - Essential Mix - Franky Wah.mp3,mp3
2021-01-02,2021,01,02,AceMoMA,AceMoMA,2021/2021-01-02 - Essential Mix - AceMoMA/2021-01-02 - Essential Mix - AceMoMA.mp3,mp3
2021-01-09,2021,01,09,TSHA,TSHA,2021/2021-01-09 - Essential Mix - TSHA/2021-01-09 - Essential Mix - TSHA.mp3,mp3
2021-01-16,2021,01,16,Cristoph,Cristoph,2021/2021-01-16 - Essential Mix - Cristoph/2021-01-16 - Essential Mix - Cristoph.mp3,mp3
2021-01-23,2021,01,23,Vintage Culture,Vintage Culture,2021/2021-01-23 - Essential Mix - Vintage Culture/2021-01-23 - Essential Mix - Vintage Culture.mp3,mp3
2021-01-30,2021,01,30,Sven Vath,Sven Vath,2021/2021-01-30 - Essential Mix - Sven Vath/2021-01-30 - Essential Mix - Sven Vath.mp3,mp3
2021-01-30,2021,01,30,Sven Vath,Sven Vath,2021/2021-01-30 - Essential Mix - Sven Vath/2021-01-30 - Essential Mix - Sven Vath(1).mp3,mp3
2021-02-06,2021,02,06,Ikonika,Ikonika,2021/2021-02-06 - Essential Mix - Ikonika/2021-02-06 - Essential Mix - Ikonika.mp3,mp3
2021-02-13,2021,02,13,Kelly Lee Owens,Kelly Lee Owens,2021/2021-02-13 - Essential Mix - Kelly Lee Owens/2021-02-13 - Essential Mix - Kelly Lee Owens.mp3,mp3
2021-02-20,2021,02,20,SG Lewis,SG Lewis,2021/2021-02-20 - Essential Mix - SG Lewis/2021-02-20 - Essential Mix - SG Lewis.mp3,mp3
2021-02-27,2021,02,27,Spencer Parker,Spencer Parker,2021/2021-02-27 - Essential Mix - Spencer Parker/2021-02-27 - Essential Mix - Spencer Parker.mp3,mp3
2021-03-06,2021,03,06,Silk City,Silk City,2021/2021-03-06 - Essential Mix - Silk City/2021-03-06 - Essential Mix - Silk City.mp3,mp3
2021-03-13,2021,03,13,Luke Vibert,Luke Vibert,2021/2021-03-13 - Essential Mix - Luke Vibert/2021-03-13 - Essential Mix - Luke Vibert.mp3,mp3
2021-03-20,2021,03,20,Oneohtrix Point Never,Oneohtrix Point Never,2021/2021-03-20 - Essential Mix - Oneohtrix Point Never/2021-03-20 - Essential Mix - Oneohtrix Point Never.mp3,mp3
2021-03-27,2021,03,27,Logic1000,Logic1000,2021/2021-03-27 - Essential Mix - Logic1000/2021-03-27 - Essential Mix - Logic1000.mp3,mp3
2021-04-03,2021,04,03,Bronson,Bronson,2021/2021-04-03 - Essential Mix - Bronson/2021-04-03 - Essential Mix - Bronson.mp3,mp3
2021-04-16,2021,04,16,Ida Engberg,Ida Engberg,2021/2021-04-16 - Essential Mix - Ida Engberg/2021-04-16 - Essential Mix - Ida Engberg.mp3,mp3
2021-04-24,2021,04,24,Jamz Supernova,Jamz Supernova,2021/2021-04-24 - Essential Mix - Jamz Supernova/2021-04-24 - Essential Mix - Jamz Supernova.mp3,mp3
2021-05-01,2021,05,01,Batu,Batu,2021/2021-05-01 - Essential Mix - Batu/2021-05-01 - Essential Mix - Batu.mp3,mp3
2021-05-08,2021,05,08,Mind Against,Mind Against,2021/2021-05-08 - Essential Mix - Mind Against/2021-05-08 - Essential Mix - Mind Against.mp3,mp3
2021-05-15,2021,05,15,Skee Mask,Skee Mask,2021/2021-05-15 - Essential Mix - Skee Mask/2021-05-15 - Essential Mix - Skee Mask.mp3,mp3
2021-05-22,2021,05,22,Nathan Micay,Nathan Micay,2021/2021-05-22 - Essential Mix - Nathan Micay/2021-05-22 - Essential Mix - Nathan Micay.mp3,mp3
2021-05-29,2021,05,29,House Gospel Choir with Harrsn,House Gospel Choir with Harrsn,2021/2021-05-29 - Essential Mix - House Gospel Choir _ Friends/2021-05-29 - EM - 1 - House Gospel Choir with Harrsn.mp3,mp3
2021-05-29,2021,05,29,House Gospel Choir,House Gospel Choir with Adelphi Music Factory,2021/2021-05-29 - Essential Mix - House Gospel Choir _ Friends/2021-05-29 - EM - 2 - House Gospel Choir with Adelphi Music Factory.mp3,mp3
2021-05-29,2021,05,29,House Gospel Choir with Themba,House Gospel Choir with Themba,2021/2021-05-29 - Essential Mix - House Gospel Choir _ Friends/2021-05-29 - EM - 3 - House Gospel Choir with Themba.mp3,mp3
2021-05-29,2021,05,29,House Gospel Choir with Toddy Terry,House Gospel Choir with Toddy Terry,2021/2021-05-29 - Essential Mix - House Gospel Choir _ Friends/2021-05-29 - EM - 4 - House Gospel Choir with Toddy Terry.mp3,mp3
2021-05-29,2021,05,29,House Gospel Choir with DJ Spen,House Gospel Choir with DJ Spen,2021/2021-05-29 - Essential Mix - House Gospel Choir _ Friends/2021-05-29 - EM - 5 - House Gospel Choir with DJ Spen.mp3,mp3
2021-05-29,2021,05,29,House Gospel Choir with Harrsn,House Gospel Choir with Harrsn,2021/2021-05-29 - Essential Mix - House Gospel Choir _ Friends/2021-05-29 - EM - 6 - House Gospel Choir with Harrsn.mp3,mp3
2021-06-05,2021,06,05,Enrico Sangiuliano,Enrico Sangiuliano,2021/2021-06-05 - Essential Mix - Enrico Sangiuliano/2021-06-05 - Essential Mix - Enrico Sangiuliano.mp3,mp3
2021-06-12,2021,06,12,London Grammar,London Grammar,2021/2021-06-12 - Essential Mix - London Grammar/2021-06-12 - Essential Mix - London Grammar.mp3,mp3
2021-06-19,2021,06,19,Jodie Harsh,Jodie Harsh,2021/2021-06-19 - Essential Mix - Jodie Harsh/2021-06-19 - Essential Mix - Jodie Harsh.mp3,mp3
2021-06-26,2021,06,26,Prospa,Prospa,2021/2021-06-26 - Essential Mix - Prospa/2021-06-26 - Essential Mix - Prospa.mp3,mp3
2021-07-03,2021,07,03,Folamour,Folamour,2021/2021-07-03 - Essential Mix - Folamour/2021-07-03 - Essential Mix - Folamour.mp3,mp3
2021-07-10,2021,07,10,India Jordan,India Jordan,2021/2021-07-10 - Essential Mix - India Jordan/2021-07-10 - Essential Mix - India Jordan.mp3,mp3
2021-07-17,2021,07,17,Eli _ Fur,Eli _ Fur,2021/2021-07-17 - Essential Mix - Eli _ Fur/2021-07-17 - Essential Mix - Eli _ Fur.mp3,mp3
2021-07-24,2021,07,24,Jax Jones,Jax Jones,2021/2021-07-24 - Essential Mix - Jax Jones/2021-07-24 - Essential Mix - Jax Jones.m4a,m4a
2021-07-31,2021,07,31,NuTone,NuTone,2021/2021-07-31 - Essential Mix - NuTone/2021-07-31 - Essential Mix - NuTone.m4a,m4a
2021-08-07,2021,08,07,Yousef _ Paul Woolford,Yousef _ Paul Woolford,2021/2021-08-07 - Essential Mix - Yousef _ Paul Woolford/2021-08-07 - Essential Mix - Yousef _ Paul Woolford.mp3,mp3
2021-08-08,2021,08,08,Carl Cox,Carl Cox,2021/2021-08-08 - Essential Mix - Carl Cox/2021-08-08 - Essential Mix - Carl Cox.mp3,mp3
2021-08-08,2021,08,08,Carl Cox,Carl Cox,2021/2021-08-08 - Essential Mix - Carl Cox/2021-08-08 - Essential Mix - Carl Cox.m4a,m4a
2021-08-14,2021,08,14,WhoMadeWho,WhoMadeWho,2021/2021-08-14 - Essential Mix - WhoMadeWho/2021-08-14 - Essential Mix - WhoMadeWho.mp3,mp3
2021-08-21,2021,08,21,VTSS,VTSS,2021/2021-08-21 - Essential Mix - VTSS/2021-08-21 - Essential Mix - VTSS.mp3,mp3
2021-08-28,2021,08,28,Boys Noize,Boys Noize,2021/2021-08-28 - Essential Mix - Boys Noize/2021-08-28 - Essential Mix - Boys Noize.mp3,mp3
2021-09-04,2021,09,04,Cormac,Cormac,2021/2021-09-04 - Essential Mix - Cormac/2021-09-04 - Essential Mix - Cormac.mp3,mp3
